T, °C;межфазная энергия, Дж/м²;места зарождения;t, ч;мольная доля P-фазы, %;объёмная доля P-фазы, %;движущая сила, Дж/м³
664,0;0,125;границы зёрен;15770,956859506377;22,740352024727013;23,963706042909656;3160335,984596472
664,0;0,125;границы зёрен;27949,801129988966;22,755068631499498;23,97896863339014;2882812,586887636
664,0;0,125;границы зёрен;49482,81675692121;22,7766434112964;24,00134326858652;2475386,852883256
664,0;0,125;границы зёрен;87600,0;22,8006620721516;24,02625159762274;2021007,751610036
664,0;0,15;границы зёрен;0,001;0,0;0,0;239035263,5899379
664,0;0,15;границы зёрен;0,001769908906321979;0,0;0,0;239035263,5899449
664,0;0,15;границы зёрен;0,0031594584656720955;3,409507595390943e-30;3,6507344703490534e-30;239035263,58988824
664,0;0,15;границы зёрен;0,0055912736168852615;1,0839850001822533e-21;1,1606782782523522e-21;239035263,58991244
664,0;0,15;границы зёрен;0,010000000000000002;7,145308470245464e-17;7,650847872832245e-17;239035263,58991593
664,0;0,15;границы зёрен;0,017116235948873786;4,211539262994919e-14;4,509510869378496e-14;239035263,58988404
664,0;0,15;границы зёрен;0,030584486369807144;3,540498975374139e-12;3,790993652311187e-12;239035263,58985642
664,0;0,15;границы зёрен;0,05468679397153128;6,221420759785706e-11;6,661593965356625e-11;239035263,58957148
664,0;0,15;границы зёрен;0,09710310097889714;4,822302411984464e-10;5,163486265779804e-10;239035263,58708695
664,0;0,15;границы зёрен;0,10000000000000002;5,300402451337991e-10;5,675412473629116e-10;239035263,58678436
664,0;0,15;границы зёрен;0,17174119887216358;2,9755568328452926e-09;3,1860811551829146e-09;239035263,572501
664,0;0,15;границы зёрен;0,3045532560192222;2,3316778693504535e-08;2,496646959447898e-08;239035263,45352083
664,0;0,15;границы зёрен;0,5362115532516709;1,9998015687152025e-07;2,1412900002343618e-07;239035262,42034942
664,0;0,15;границы зёрен;0,953006906569111;1,56964064178643e-06;1,6806946546806866e-06;239035254,41003415
664,0;0,15;границы зёрен;1,0;1,8449573945621636e-06;1,9754904071680713e-06;239035252,7998789
664,0;0,15;границы зёрен;1,687205869263048;9,688364305715646e-06;1,0373827979601208e-05;239035206,92869633
664,0;0,15;границы зёрен;2,984660525428415;5,199666533533151e-05;5,5675491603578454e-05;239034959,4936199
664,0;0,15;границы зёрен;5,29155499350458;0,00024505306486878234;0,0002623908264883825;239033830,42128423
664,0;0,15;границы зёрен;9,360595160150325;0,0010443951206167478;0,0011182865394656623;239029155,4561417
664,0;0,15;границы зёрен;10,0;0,0012326304563896975;0,0013198394331102763;239028054,53810617
664,0;0,15;границы зёрен;16,571119813146304;0,004579005410128421;0,004902959816307795;239008481,53926903
664,0;0,15;границы зёрен;29,360860880833634;0,021475538413245447;0,022994609904973377;238909615,69508016
664,0;0,15;границы зёрен;51,974093221855526;1,757649820932251;1,8796682391209043;228403291,24896973
664,0;0,15;границы зёрен;92,13116120129766;20,032913333612225;21,150489527386938;49426347,684406504
664,0;0,15;границы зёрен;100,0;21,244821307164017;22,41105863363524;29820333,101334017
664,0;0,15;границы зёрен;160,76104156475245;22,61524811553596;23,83394816623587;5506840,394771763
664,0;0,15;границы зёрен;200,0;22,62227399876838;23,841236017254943;5375657,782078656
664,0;0,15;границы зёрен;295,39740947063876;22,694408230144372;23,916055728398028;4024708,275386546
664,0;0,15;границы зёрен;519,2988069247834;22,6714739535697;23,892268448380765;4455041,335314985
664,0;0,15;границы зёрен;902,1700215533922;22,622506133492166;23,8414768061603;5371322,309171909
664,0;0,15;границы зёрен;1000,0;22,623210141636747;23,842207059856197;5358173,40220725
664,0;0,15;границы зёрен;1605,7699695954416;22,618570263061383;23,837394192574862;5444820,28845493
664,0;0,15;границы зёрен;2842,184731561849;22,629598380821957;23,848833421030573;5238826,421302074
664,0;0,15;границы зёрен;5026,156545406415;22,655142222246553;23,875328821474994;4761022,742504673
664,0;0,15;границы зёрен;8898,349427990775;22,689531116753354;23,91099728224208;4116284,9199068476
664,0;0,15;границы зёрен;10000,0;22,693622755932722;23,915241052304296;4039459,304777366
664,0;0,15;границы зёрен;15786,844638992818;22,71625719773165;23,938716626441327;3614031,052075481
664,0;0,15;границы зёрен;27947,51874209579;22,743222516628812;23,96668305414806;3106229,5152073377
664,0;0,15;границы зёрен;49482,023312087455;22,777880154819403;24,002625842309026;2452011,106864946
664,0;0,15;границы зёрен;87600,0;22,80225274292006;24,02790115854693;1990885,9267498078
664,0;0,175;границы зёрен;0,001;0,0;0,0;239035263,5899114
664,0;0,175;границы зёрен;0,001769908906321979;0,0;0,0;239035263,5899139
664,0;0,175;границы зёрен;0,0031355141082460083;0,0;0,0;239035263,5899031
664,0;0,175;границы зёрен;0,005457346920544909;2,7015592844437047e-30;2,8926979417035956e-30;239035263,58990934
664,0;0,175;границы зёрен;0,00990678054533506;8,341341531733804e-24;8,93150175116799e-24;239035263,58991104
