B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;элемент;в сплаве, масс. %;собрано из фаз, масс. %;невязка, масс. %
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;NB;0,06;0,0600000001036596;1,0365960173563948e-10
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;S;0,02;0,019999995978977596;-4,021022403932761e-09
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;TI;0,1;0,09999999876357134;-1,2364286677835068e-09
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;NI;61,665;61,66500002385054;2,3850539321301767e-08
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;CR;23,5;23,499999945165296;-5,4834703888673175e-08
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;MO;13,0;13,000000038229647;3,8229647003618084e-08
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;B;0,3;0,30000000001999116;1,999117538176165e-11
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;SI;0,1;0,09999999995902488;-4,097512606993092e-11
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;AL;0,25;0,24999999931774017;-6,822598319633499e-10
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;C;0,005;0,0049999897490402125;-1,0250959787613811e-08
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;FE;0,5;0,49999999981427007;-1,8572993143450844e-10
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;MN;0,5;0,5000000035517986;3,551798632983605e-09
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;NB;0,06;0,05999999999157591;-8,424087816205628e-12
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;S;0,02;0,02000000183045071;1,8304507111432944e-09
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;TI;0,1;0,09999999852063131;-1,4793686969882813e-09
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;NI;61,665;61,664999993086525;-6,913474237535411e-09
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;CR;23,5;23,499999972197518;-2,7802482094330117e-08
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;MO;13,0;13,000000033369943;3,336994325309206e-08
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;B;0,3;0,3000000002464533;2,464533022106252e-10
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;SI;0,1;0,09999999986527275;-1,347272571283753e-10
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;AL;0,25;0,2500000011506797;1,150679718175951e-09
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;C;0,005;0,0049999931118545;-6,8881455001640335e-09
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;FE;0,5;0,4999999995106383;-4,893617178147736e-10
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;MN;0,5;0,500000004788961;4,788961005530723e-09
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;NB;0,06;0,05999999992519599;-7,480401020831806e-11
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;S;0,02;0,020000003430988914;3,4309889131167726e-09
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;TI;0,1;0,09999999931594425;-6,840557564835592e-10
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;NI;61,464999999999996;61,46500000409928;4,099284467429243e-09
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;CR;23,5;23,499999969250723;-3,074927690249751e-08
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;MO;13,0;13,000000050343345;5,034334549236519e-08
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;B;0,5;0,49999999942202894;-5,779710599007615e-10
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;SI;0,1;0,0999999997834876;-2,1651240522668758e-10
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;AL;0,25;0,24999999782915594;-2,1708440600676226e-09
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;C;0,005;0,0049999911757193346;-8,824280665550854e-09
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;FE;0,5;0,4999999991719982;-8,280017782524851e-10
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;MN;0,5;0,4999999933923398;-6,6076601967779425e-09
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;NB;0,06;0,05999999989187939;-1,0812060968756754e-10
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;S;0,02;0,01999999703482414;-2,965175861791014e-09
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;TI;0,1;0,09999999860521865;-1,394781359853603e-09
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;NI;61,464999999999996;61,46500000928375;9,283752433475456e-09
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;CR;23,5;23,499999983684532;-1,6315468087668705e-08
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;MO;13,0;13,00000001461515;1,4615149979135822e-08
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;B;0,5;0,4999999995398268;-4,6017317734126095e-10
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;SI;0,1;0,09999999994130487;-5,86951320880047e-11
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;AL;0,25;0,2500000016435629;1,6435628968913818e-09
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;C;0,005;0,004999995951078995;-4,048921004896899e-09
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;FE;0,5;0,49999999969937176;-3,0062824452059544e-10
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;MN;0,5;0,4999999977051941;-2,294805900859842e-09
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;NB;0,06;0,059999999977924934;-2,207506399898307e-11
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;S;0,02;0,019999998514335704;-1,4856642964466982e-09
