T, °C;точка ТЗ;фаза;мольная доля фазы, %;массовая доля фазы, %;x(NI);x(CR);x(MO);x(AL);x(C);x(FE);x(MN);x(NB);x(S);x(SI);x(TI);NI, масс. %;CR, масс. %;MO, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;SI, масс. %;TI, масс. %
600,0;нет;P_PHASE;27,353871502687166;29,471920674859565;0,4182732888292346;0,36744099688505105;0,21428571428571427;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;38,230036308783106;29,753496919054303;32,01646677216259;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
625,0;нет;FCC_A1;72,61816739400597;70,72460067799604;0,7053122120739124;0,23682898879462494;0,03363590676943775;0,0059459499325519955;2,8021948980815146e-06;0,007225734162232659;0,006957429207467005;0,0005206843808799771;9,99997197805049e-15;0,0029203828258641054;0,0006499096581210788;71,31656239344049;21,21532474103434;5,55965371591129;0,2763967104340618;5,7985898782387384e-05;0,695227138010121;0,6585162997527781;0,08334222110590521;5,524442521773674e-13;0,14130802739209017;0,053610767019571036
625,0;нет;GAMMA_PRIME;0,980862026577909;0,8874523540175112;0,7476204734531523;0,03614249620357999;0,005766566313315171;0,12277426512144693;0,0;0,009001655308683878;0,0;0,0006909794379730277;0,0;0,0001308041266067645;0,07787276003524195;81,37261608639892;3,4851466896636687;1,0260062063344209;6,1433754837306465;0,0;0,9322989832350872;0,0;0,11905393080459004;0,0;0,006812971753260346;6,914689648079389
625,0;нет;M23C6;0,11892978313244291;0,09798567439252466;0,1783786555956069;0,5110004503758467;0,09591577040183905;0,0;0,20689655172413782;0,00026609496317901347;1,2926059800483267e-05;0,0;0,0;0,0;0,007529550879589962;21,32088090360119;54,11147424944121;18,740789467968625;0,0;5,060932765833185;0,03026457997045921;0,0014462292940711139;0,0;0,0;0,0;0,7342118038912532
625,0;нет;MNS_Q;0,0743438686503081;0,05426558518462363;0,0;0,0;0,0;0,0;0,0;2,632285664510248e-07;0,49999973677143356;0,0;0,49999999999999994;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,3792758194411386e-05;63,144189664063504;0,0;36,8557765431783;0,0;0,0
625,0;нет;P_PHASE;26,20769696498213;28,235695708409292;0,41783147741603766;0,36788280829824804;0,21428571428571427;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;38,191413908089594;29,79064464407948;32,01794144783094;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
650,0;нет;FCC_A1;74,13433990078784;72,30829789520607;0,7009078784414099;0,23805738755387537;0,03649258819671907;0,006310381815792783;4,069967276046392e-06;0,007122531557586196;0,006815134502614463;0,0005127536772835787;9,999959300326821e-15;0,0028610328771769967;0,0009162414102555583;70,7662929503459;21,293791298935762;6,022901702196857;0,29290296374064706;8,409525254589956e-05;0,6842828026903108;0,6440931364315485;0,08195129307777752;5,516256033465799e-13;0,13823130344786588;0,07546845388024101
650,0;нет;GAMMA_PRIME;0,6831231345422789;0,6176289823176876;0,7472266814850812;0,03309943009881808;0,005804963479638485;0,12353937165489119;0,0;0,00808327781292483;0,0;0,0006971592597239758;0,0;0,00014692206823671612;0,08140219414068552;81,38753875775303;3,1939777466230983;1,0335717740817232;6,1860518611409;0,0;0,8377776852620814;0,0;0,1202040406794908;0,0;0,0076579165230633624;7,233220217936609
650,0;нет;M23C6;0,1184550092831472;0,09760692962846686;0,18224302065959624;0,5071085341953167;0,09550532065454725;0,0;0,20689655172413796;0,0002915998839182661;1,5280284872836857e-05;0,0;0,0;0,0;0,007939692597610857;21,780001365163262;53,69251441864756;18,65821826273646;0,0;5,060288845066747;0,03316118819133384;0,0017094137143316111;0,0;0,0;0,0;0,7741065064803059
650,0;нет;MNS_Q;0,0743438495621039;0,05426557154734838;0,0;0,0;0,0;0,0;0,0;4,079035593062781e-07;0,4999995920964407;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,236584497819264e-05;63,14417120239428;0,0;36,85577643176074;0,0;0,0
