T, °C;межфазная энергия, Дж/м²;места зарождения;t, ч;средний радиус, нм;число выделений, 1/м³;критический радиус, нм;скорость зарождения, 1/(м³·с)
700,0;0,15;объём зерна;0,3035281041009391;0,0;7,315415259397963e-13;1,4353218516376889;7,95868730018235e-13
700,0;0,15;объём зерна;0,5373684155160052;0,0;1,4137701559582488e-12;1,4353218516374289;8,032077779730451e-13
700,0;0,15;объём зерна;0,9511271808247345;0,0;2,6225347011374586e-12;1,435321851637737;8,073817117928909e-13
700,0;0,15;объём зерна;1,0;0,0;2,004360436461894e-12;1,4353218516374961;8,076473768222006e-13
700,0;0,15;объём зерна;1,6852501600765406;0,0;4,005165754707453e-12;1,4353218516374313;8,097527407893127e-13
700,0;0,15;объём зерна;2,9833301265324974;0,0;7,798309144916183e-12;1,4353218516375854;8,11092424828751e-13
700,0;0,15;объём зерна;5,2830095737983225;0,0;1,4520066985922923e-11;1,4353218516377717;8,11850501235794e-13
700,0;0,15;объём зерна;9,35969844997168;0,0;2,6436897384069998e-11;1,43532185163745;8,122791585457046e-13
700,0;0,15;объём зерна;10,0;0,0;1,1233960491971359e-11;1,43532185163725;8,123147374888205e-13
700,0;0,15;объём зерна;16,570959545682157;0,0;3,043816039049918e-11;1,4353218516375763;8,125209978055652e-13
700,0;0,15;объём зерна;29,350528588955715;0,0;6,779342176818521e-11;1,4353218516375947;8,126577011045565e-13
700,0;0,15;объём зерна;51,97073204951477;0,9970000000000002;1,33916959513258e-10;1,4353218516373576;8,127348634702013e-13
700,0;0,15;объём зерна;92,06645694618066;0,9970000000000002;2,5112713099645167e-10;1,435321851637595;8,127784701420914e-13
700,0;0,15;объём зерна;100,0;0,9970000000000002;1,0182170626973536e-10;1,4353218516373532;8,127829544756447e-13
700,0;0,15;объём зерна;163,07792971802743;0,9970000000000002;2,8621160478689723e-10;1,4353218516377586;8,128030832042649e-13
700,0;0,15;объём зерна;200,0;0,0;5,4138056668547995e-11;1,435321851637436;8,128089743895345e-13
700,0;0,15;объём зерна;288,7106794656684;0,9970000000000002;3,1345923048418175e-10;1,4353218516370954;8,12816969685963e-13
700,0;0,15;объём зерна;511,2587749415865;0,9970000000000002;9,640251014748191e-10;1,4353218516376476;8,128248160021942e-13
700,0;0,15;объём зерна;905,6521559651597;0,9970000000000002;2,116945551961183e-09;1,435321851637233;8,128292488636489e-13
700,0;0,15;объём зерна;1000,0;0,9970000000000002;1,268155689590547e-09;1,435321851637561;8,128297909882727e-13
700,0;0,15;объём зерна;1603,2837532047117;0,9970000000000002;3,031720656638097e-09;1,4353218516373878;8,128317492341845e-13
700,0;0,15;объём зерна;2839,0358009060474;0,9970000000000002;6,644170358278345e-09;1,4353218516375874;8,128331621065276e-13
700,0;0,15;объём зерна;5028,633571792196;0,9970000000000002;1,3044982014332657e-08;1,4353218516374548;8,128339603100895e-13
700,0;0,15;объём зерна;8908,86767615496;0,9970000000000002;2,4388002322293254e-08;1,4353218516372024;8,128344111150867e-13
700,0;0,15;объём зерна;10000,0;0,9970000000000002;2,694906815693223e-08;1,4353218516372261;8,128344747810211e-13
700,0;0,15;объём зерна;15765,470162594047;0,9970000000000002;4,380316680832121e-08;1,4353218516374253;8,128346651224881e-13
700,0;0,15;объём зерна;27940,049585849076;0,9970000000000002;7,939290380722661e-08;1,4353218516379145;8,12834808883268e-13
700,0;0,15;объём зерна;49468,135641063185;0,9970000000000002;1,4232558511033264e-07;1,4353218516375723;8,128348900183094e-13
700,0;0,15;объём зерна;87600,0;0,9970000000000002;1,7815053585098128e-07;1,4353218516373247;8,128349358311407e-13
700,0;0,25;объём зерна;0,001;0,0;1,6399327180910527e-171;2,3922030860628016;3,2747012398725134e-169
700,0;0,25;объём зерна;0,001769908906321979;0,0;2,6479414085575418e-169;2,3922030860625125;3,3970927815009505e-167
700,0;0,25;объём зерна;0,0031355141082460083;0,0;5,967862488095562e-168;2,3922030860624686;4,6935159942881495e-166
700,0;0,25;объём зерна;0,005554586920350339;0,0;4,425941303706319e-167;2,392203086062768;2,0662751841471595e-165
700,0;0,25;объём зерна;0,009835356723973405;0,0;1,7554245752027022e-166;2,3922030860626067;4,767857552537421e-165
700,0;0,25;объём зерна;0,010000000000000002;0,0;1,715412268759588e-166;2,3922030860619334;4,853791707248439e-165
700,0;0,25;объём зерна;0,01741420532255206;0,0;4,740480376310119e-166;2,3922030860624717;7,645241037640752e-165
700,0;0,25;объём зерна;0,03084270003851134;0,0;1,1011135102639214e-165;2,3922030860628256;9,982932193535082e-165
