T, °C;точка ТЗ;фаза постановки;имена в mc_ni;тип;есть;найдено как;мольная доля, %;массовая доля, %;NI, масс. %;CR, масс. %;MO, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;SI, масс. %;TI, масс. %
750,0;да;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
750,0;да;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
750,0;да;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
775,0;нет;P;P_PHASE;ТКП;да;P_PHASE;17,328024588526553;18,66328558882591;37,93922853684186;30,03320110505194;32,027570358106196;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
775,0;нет;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
775,0;нет;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
775,0;нет;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
775,0;нет;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
775,0;нет;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
775,0;нет;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
775,0;нет;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
800,0;нет;P;P_PHASE;ТКП;да;P_PHASE;15,338607157524498;16,51957922193502;37,88901029162952;30,08150192351213;32,02948778485834;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
800,0;нет;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
800,0;нет;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
800,0;нет;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
800,0;нет;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
800,0;нет;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
800,0;нет;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
800,0;нет;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
825,0;нет;P;P_PHASE;ТКП;да;P_PHASE;13,325306428306389;14,350479521462848;37,84294511204767;30,12580824817385;32,03124663977849;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
825,0;нет;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
