B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;фаза;мольная доля, %;массовая доля, %;молярная масса фазы, г/моль;pdens точки;сошлась
3,0;2,0;"B=3; Si=2";перекрёстные узлы;580,0;служба;CR2B;6,981613705580722;5,207947080911344;38,45961135619363;100;да
3,0;2,0;"B=3; Si=2";перекрёстные узлы;580,0;служба;TIB2;0,24914289672870119;0,11196327649429286;23,169743915696337;100;да
3,0;2,0;"B=3; Si=2";перекрёстные узлы;580,0;служба;M23C6;0,10348157728270843;0,09996644759127626;49,80642427411711;100;да
3,0;2,0;"B=3; Si=2";перекрёстные узлы;580,0;служба;MNS_Q;0,06431456432212442;0,054265575360996104;43,502000017557485;100;да
3,0;2,0;"B=3; Si=2";перекрёстные узлы;595,0;служба;FCC_A1;60,006903841139305;65,25893748471046;56,0703056115819;100;да
3,0;2,0;"B=3; Si=2";перекрёстные узлы;595,0;служба;CR5B3;20,832931182386254;14,769402453936125;36,551625;100;да
3,0;2,0;"B=3; Si=2";перекрёстные узлы;595,0;служба;M2B;11,348211903562772;14,04833898165333;63,825126644708654;100;да
3,0;2,0;"B=3; Si=2";перекрёстные узлы;595,0;служба;CR2B;6,909539192230231;5,153938490455727;38,45778706404165;100;да
3,0;2,0;"B=3; Si=2";перекрёстные узлы;595,0;служба;MOB;0,4865638676766764;0,5037182286510687;53,3755;100;да
3,0;2,0;"B=3; Si=2";перекрёстные узлы;595,0;служба;TIB2;0,24812438686592025;0,11150806383709927;23,170263244926442;100;да
3,0;2,0;"B=3; Si=2";перекрёстные узлы;595,0;служба;M23C6;0,10341089640292728;0,09989076292329284;49,802732453254606;100;да
3,0;2,0;"B=3; Si=2";перекрёстные узлы;595,0;служба;MNS_Q;0,06431451504835647;0,054265533832912306;43,5020000253901;100;да
3,0;5,0;"B=3; Si=5";перекрёстные узлы;580,0;служба;FCC_A1;33,00781754744093;36,29568606026689;55,11070916118815;200;да
3,0;5,0;"B=3; Si=5";перекрёстные узлы;580,0;служба;GAMMA_PRIME;26,39396315371048;27,11766139645087;51,49267187659345;200;да
3,0;5,0;"B=3; Si=5";перекрёстные узлы;580,0;служба;CR2B;18,4148234935853;14,094227315003515;38,359373975266635;200;да
3,0;5,0;"B=3; Si=5";перекрёстные узлы;580,0;служба;M2B;11,71590193055401;14,824119444691947;63,41485118985586;200;да
3,0;5,0;"B=3; Si=5";перекрёстные узлы;580,0;служба;CR5B3;10,304163020880063;7,514872397879023;36,551625;200;да
3,0;5,0;"B=3; Si=5";перекрёстные узлы;580,0;служба;M23C6;0,1008117902231464;0,09916781434796418;49,301168668997086;200;да
3,0;5,0;"B=3; Si=5";перекрёстные узлы;580,0;служба;MNS_Q;0,06251913429723169;0,05426557135980781;43,502000001151245;200;да
3,0;5,0;"B=3; Si=5";перекрёстные узлы;595,0;служба;FCC_A1;33,33320097944777;36,632354246283896;55,078944495139524;100;да
3,0;5,0;"B=3; Si=5";перекрёстные узлы;595,0;служба;GAMMA_PRIME;26,131834758946027;26,85089383121092;51,497558980152334;100;да
3,0;5,0;"B=3; Si=5";перекрёстные узлы;595,0;служба;CR2B;17,814699917239494;13,63587068736776;38,362081394991534;100;да
3,0;5,0;"B=3; Si=5";перекрёстные узлы;595,0;служба;M2B;11,746881750664977;14,843622172238513;63,33081748174474;100;да
