B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;фаза;чем является по модели базы;мольная доля, %;массовая доля, %;x(B) в фазе;x(SI) в фазе;NI, масс. %;CR, масс. %;MO, масс. %;B, масс. %;SI, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;TI, масс. %
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;M2B;борид;2,532736241328168;2,8215385153133856;0,33333299999999993;0,0;0,22957398829078773;7,111397116337863;86,94733281321673;5,6638935936744;0,0;0,0;0,0;0,04780248848020658;0,0;0,0;0,0;0,0
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;GAMMA_PRIME;кремний в растворе;1,8134083308538755;1,6656345134508734;0,0;0,05566106323116076;83,84593479175334;1,5325162178122067;0,26623862365267115;0,0;2,9800014732016367;6,322424012319148;0,0;0,09345511639296554;0,0;0,02886253735249115;0,0;4,930567227515567
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;M23C6_WY;бор в подрешётке внедрения;0,11564229527487506;0,091932805001867;0,00133928877271296;0,0;1,171854184482766;85,56404946474137;7,794296945491837;0,031889904069849186;0,0;0,0;5,4378235422459325;0,0;0,0;0,0;0,0;8,595896824975596e-05
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;FCC_A1;бор в подрешётке внедрения;65,31784504153202;63,76063870660552;1,0354498402129976e-07;0,06096998572594187;75,12636369953982;18,289604261826806;1,9698362301733503;2,0078952269439646e-06;3,071456492323764;0,24552923213250508;1,7961547790547594e-06;0,436424838735876;0,7304419067858575;0,09337220780283789;5,751628428505042e-13;0,03696732662860864
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;CR2B;борид;5,077516152786179;3,417200945191852;0,333333;0,0;0,0;84,22698032451598;0,0;9,375445195978601;0,0;0,0;0,0;6,397574479505428;0,0;0,0;0,0;0,0
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;M2B;борид;2,846200755322455;3,1653864029395002;0,3333330000000002;0,0;0,24205004400180208;7,310376242267879;86,72107811394231;5,673484865931315;0,0;0,0;0,0;0,05301073385669969;0,0;0,0;0,0;0,0
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;GAMMA_PRIME;кремний в растворе;1,6027414675875677;1,4733572986416268;0,0;0,05280639618105015;83,76066835151853;1,4910120971539518;0,26439121942626026;0,0;2,8248214974921617;6,342588512570669;0,0;0,09751601863916538;0,0;0,03157982785736969;0,0;5,187422475341897
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;M23C6_WY;бор в подрешётке внедрения;0,11573352751918374;0,09202902053537876;0,0015153545413324732;0,0;1,2267296783345387;85,46951763138193;7,835772846217455;0,036072931584857505;0,0;0,0;5,431767396495934;0,0;0,0;0,0;0,0;0,0001395159852832816
1,0;0,1;"B=1; Si=0.1";ось бора;595,0;служба;FCC_A1;бор в подрешётке внедрения;83,03642082133096;84,07423462216383;1,1677530147260213e-06;0,0024442041378690427;71,555164229253;22,650249554056618;4,4381652310593935;2,1862380086003546e-05;0,1188776498797763;0,23353237221473072;3,3939442796008655e-05;0,3404698695618842;0,5539551285194726;0,07004647983604645;5,55295492698387e-13;0,039483683795659655
1,0;0,1;"B=1; Si=0.1";ось бора;595,0;служба;M2B;борид;9,613278091596463;10,690333023599651;0,333333;0,0;0,4966881124228556;7,3288024241947;86,46460890840676;5,681975105542105;0,0;0,0;0,0;0,027925449433571673;0,0;0,0;0,0;0,0
1,0;0,1;"B=1; Si=0.1";ось бора;595,0;служба;CR2B;борид;6,212781032244697;4,182797173284199;0,333333;0,0;0,0;85,7021343412254;0,0;9,385086869206543;0,0;0,0;0,0;4,912778789568063;0,0;0,0;0,0;0,0
1,0;0,1;"B=1; Si=0.1";ось бора;595,0;служба;GAMMA_PRIME;кремний в растворе;0,9522677243384778;0,9003490045812601;0,0;0,00011627248359137096;81,45584232626918;3,7659542258755807;0,7652736429626009;0,0;0,006055948346080736;5,95984938141518;0,0;0,5846508701172616;0,0;0,12316974241194965;0,0;7,3392038626021705
1,0;0,1;"B=1; Si=0.1";ось бора;595,0;служба;M23C6;бор в подрешётке внедрения;0,11410908233842718;0,0980205946145068;1,860826383094053e-05;0,0;19,443327990473612;55,95740647297457;18,773434070770914;0,0004106288695007859;0,0;0,0;5,07190504788149;0,011995776962626967;0,0009069801614435192;0,0;0,0;0,7406130319058464
1,5;0,1;"B=1.5; Si=0.1";перекрёстные узлы;580,0;служба;FCC_A1;бор в подрешётке внедрения;75,87494087280835;78,41228319379563;1,7900717398568667e-06;0,002619325592047487;76,2353885540065;19,251121893520466;3,2181797650037542;3,3540662997137247e-05;0,12749906076340997;0,2679261479921292;4,40234914355237e-05;0,16645745515837154;0,5939548482086473;0,07599459963336;5,557486695901905e-13;0,06340011155837648
