источник;T, °C;узел Ni, ат. %;узел Cr, ат. %;узел Mo, ат. %;мольная доля P, %;x(Ni) в P;x(Cr) в P;x(Mo) в P;прочие элементы в P, мольн. доля;Mo − 12/56, ат. %;Ni/Cr;y(Ni) подрешётки 1;y(Cr) подрешётки 2;y(Mo) подрешётки 3
13-А, сечение;1100,0;30,0;47,5;22,5;1,7521140870689975;0,3874176757735459;0,39829660994073973;0,21428571428571425;0,0;-2,7755575615628914e-15;0,972686350082637;0,9039745768049405;0,9999999999999999;0,9999999999999999
13-А, сечение;1100,0;27,5;55,0;17,5;63,23604651968525;0,37879469917053527;0,4069195865437503;0,21428571428571427;0,0;0,0;0,9308834268409166;0,8838542980645824;0,9999999999999998;1,0
13-А, сечение;1100,0;25,0;57,5;17,5;55,93301844417362;0,377043105785482;0,4086711799288036;0,21428571428571427;0,0;0,0;0,9226075248349256;0,8797672468327914;1,0;1,0
13-А, сечение;1100,0;20,0;67,5;12,5;30,941953890577125;0,3822778535213962;0,40343643219288966;0,21428571428571433;0,0;5,551115123125783e-15;0,9475541200964785;0,8919816582165908;0,9999999999999999;0,9999999999999999
13-А, сечение;1100,0;15,0;75,0;10,0;11,820169969159094;0,3823411193071231;0,40337316640716253;0,21428571428571427;0,0;0,0;0,9478595780493495;0,8921292783832874;1,0;1,0
13-А, сечение;1250,0;47,5;35,0;17,5;49,58000707565914;0,4023902361219542;0,38332404959233146;0,21428571428571427;0,0;0,0;1,0497390825070845;0,9389105509512264;1,0;1,0
13-А, сечение;1250,0;45,0;37,5;17,5;60,355207917029375;0,39703007159349757;0,3886842141207881;0,21428571428571427;0,0;0,0;1,0214720772532222;0,9264035003848278;1,0;1,0
13-А, сечение;1250,0;32,5;42,5;25,0;7,510245498917298;0,4005722562439041;0,38514202947038156;0,21428571428571425;0,0;-2,7755575615628914e-15;1,0400637312804863;0,9346685979024429;1,0;0,9999999999999999
13-А, сечение;700,0;70,0;17,5;12,5;3,365985543618789;0,42338348476520177;0,3623308009490839;0,21428571428571425;0,0;-2,7755575615628914e-15;1,1684998450482196;0,9878947977854708;1,0;0,9999999999999999
13-А, сечение;700,0;67,5;17,5;15,0;9,638817799829534;0,42382501211139606;0,3618892736028896;0,21428571428571427;0,0;0,0;1,1711455492777887;0,9889250282599242;1,0;1,0
