набор фаз;T, °C;фаза;мольная доля фазы, %;x(NI);x(CR);x(MO);x(AL);x(C);x(FE);x(MN);x(NB);x(S);x(SI);x(TI)
без P;750,0;SIGMA;3,0276713804345468;0,2882849465040583;0,35617244855627544;0,33117470989494574;0,0;0,0;0,02411624420167145;0,0002516507115870214;0,0;0,0;1,3145931536328385e-10;2,6666666666666657e-15
FCC+σ;580,0;FCC_A1;90,36785309014559;0,6663770821717654;0,2587762055488418;0,05437398759584165;0,006110675210066008;0,00027454072419383254;0,003538377667113466;0,005986278957953492;0,0004259136385419013;0,0004113401813321855;0,002348192884668543;0,0013774054196818097
FCC+σ;580,0;SIGMA;9,63214697183739;0,28076210135687274;0,36862209385330424;0,32826699115685687;0,0;0,0;0,02219910367370192;0,00014970995708121394;0,0;0,0;2,18024179008344e-12;2,6666666666666633e-15
FCC+σ;595,0;FCC_A1;90,92213423026027;0,6639614130487479;0,259553200666898;0,056016380757420166;0,006073423230755507;0,0002728671037032444;0,00363792387426501;0,005949755292816835;0,00042331718660625246;0,0004088325620201793;0,002333877789312435;0,0013690084874545575
FCC+σ;595,0;SIGMA;9,077865824147104;0,2814118881375463;0,3675468904023307;0,32854060517477474;0,0;0,0;0,02234146473810653;0,00015915154387147372;0,0;0,0;3,3674902657446228e-12;2,666666666666666e-15
FCC+σ;664,0;FCC_A1;93,54050828036263;0,6530445785597296;0,26292408198583456;0,06355681155962908;0,005903416721495819;0,0002652290298034469;0,004113352607911186;0,005784437683012997;0,00041146774068322623;0,00039738857278790444;0,002268548177122376;0,0013306873619899282
FCC+σ;664,0;SIGMA;6,459491737963771;0,2844320171945955;0,3625084017463154;0,32981541594562747;0,0;0,0;0,023038271998761246;0,00020589309412625195;0,0;0,0;2,0571386064182484e-11;2,6666666666666657e-15
FCC+σ;700,0;FCC_A1;94,95165544868168;0,647481901172757;0,26455046055320214;0,06747429126380962;0,005815681675255847;0,0002612872324197364;0,004373664119933106;0,005700134090335406;0,00040535260637132364;0,00039148268556578396;0,002234833594043031;0,001310911006307098
FCC+σ;700,0;SIGMA;5,0483444634789;0,2860204300549614;0,3597551813838785;0,3305599954004307;0,0;0,0;0,023432230364024368;0,0002321627493538516;0,0;0,0;4,734864820045368e-11;2,666666666666666e-15
FCC+σ;750,0;FCC_A1;96,95803397533217;0,6399326552241116;0,26664631216230605;0,072881558074237;0,005695336210649552;0,00025588034591027264;0,00474975610081748;0,005585784158451763;0,0003969645364780552;0,00038338162968762194;0,0021885875831133997;0,0012837839742371898
FCC+σ;750,0;SIGMA;3,041965978928315;0,2882333120222241;0,3557469367791786;0,3317340875829908;0,0;0,0;0,02401526089083432;0,00027040258956503713;0,0;0,0;1,3520466480801333e-10;2,666666666666666e-15
