фаза;T, °C;узел Ni, ат. %;узел Cr, ат. %;узел Mo, ат. %;фазовый набор;мольная доля фазы, %;Ni в фазе, ат. %;Cr в фазе, ат. %;Mo в фазе, ат. %;евклид, ат. % (до измеренной);Чебышёв, ат. % (до измеренной);ΔNi, ат. % (до измеренной);ΔCr, ат. % (до измеренной);ΔMo, ат. % (до измеренной);y(NI) подрешётки 1;y(MO) подрешётки 2;y(NI) подрешётки 2;y(MO) подрешётки 3;y(CR) подрешётки 2;y(CR) подрешётки 3;y(NI) подрешётки 3;y(CR) подрешётки 1;y(MO) подрешётки 1
SIGMA;1100,0;60,0;10,0;30,0;BCC_B2 + FCC_A1 + SIGMA;5,91341184085359;32,66455469493946;15,135380979948396;52,20006432511214;14,188195557738645;11,54072366577148;-4,897882867498097;-6,642840798273381;11,54072366577148;0,9999999999999991;0,13017049788702167;;0,8410742947769754;0,8698295021129775;0,058960904751811614;0,09996480047121371;;
SIGMA;1100,0;57,5;10,0;32,5;BCC_B2 + FCC_A1 + SIGMA;9,00803681399073;32,664554694937955;15,13538097995088;52,200064325111164;14,188195557737211;11,540723665770507;-4,897882867499604;-6,642840798270898;11,540723665770507;1,0;0,13017049788694462;;0,8410742947769762;0,8698295021130555;0,05896090475183566;0,0999648004711882;;
SIGMA;1100,0;55,0;10,0;35,0;BCC_B2 + FCC_A1 + SIGMA;12,102661785794199;32,66455469493844;15,135380979950034;52,20006432511154;14,188195557737748;11,540723665770884;-4,897882867499121;-6,6428407982717435;11,540723665770884;1,0;0,13017049788697208;;0,841074294776976;0,8698295021130289;0,05896090475182743;0,099964800471196;;
SIGMA;1100,0;52,5;10,0;37,5;BCC_B2 + FCC_A1 + SIGMA;15,197286749452122;32,6645546949405;15,135380979947048;52,200064325112464;14,188195557739185;11,540723665771807;-4,89788286749706;-6,6428407982747295;11,540723665771807;1,0;0,13017049788706486;;0,8410742947769709;0,8698295021129362;0,05896090475179822;0,09996480047123049;;
SIGMA;1100,0;50,0;10,0;40,0;BCC_B2 + FCC_A1 + SIGMA;18,291911748108856;32,66455469493917;15,135380979949122;52,200064325111704;14,188195557738053;11,540723665771047;-4,897882867498389;-6,642840798272655;11,540723665771047;1,0;0,13017049788700094;;0,8410742947769725;0,869829502113;0,05896090475181865;0,09996480047120825;;
SIGMA;1100,0;47,5;10,0;42,5;BCC_B2 + FCC_A1 + SIGMA;21,3865367141454;32,66455469494061;15,135380979946683;52,200064325112706;14,188195557739514;11,540723665772049;-4,897882867496946;-6,642840798275094;11,540723665772049;1,0;0,13017049788707513;;0,8410742947769729;0,8698295021129249;0,05896090475179481;0,09996480047123252;;
SIGMA;1100,0;45,0;10,0;45,0;BCC_B2 + FCC_A1 + SIGMA;24,4811616380314;32,664554694939;15,13538097994933;52,20006432511168;14,188195557737998;11,540723665771026;-4,897882867498559;-6,642840798272447;11,540723665771026;1,0;0,1301704978869936;;0,8410742947769737;0,8698295021130074;0,05896090475182046;0,09996480047120532;;
SIGMA;1100,0;42,5;10,0;47,5;BCC_B2 + FCC_A1 + SIGMA;27,575786642334627;32,66455469493916;15,135380979948758;52,20006432511208;14,188195557738533;11,540723665771424;-4,897882867498396;-6,642840798273019;11,540723665771424;1,0;0,13017049788701038;;0,8410742947769769;0,8698295021129897;0,05896090475181498;0,09996480047120831;;
SIGMA;1100,0;40,0;10,0;50,0;BCC_B2 + FCC_A1 + SIGMA;30,670411632923617;32,66455469493895;15,135380979949284;52,20006432511176;14,1881955577381;11,540723665771104;-4,897882867498609;-6,642840798272493;11,540723665771104;1,0;0,1301704978869957;;0,8410742947769747;0,8698295021130056;0,05896090475182018;0,09996480047120472;;
SIGMA;1100,0;37,5;10,0;52,5;BCC_B2 + FCC_A1 + SIGMA;33,76503660980107;32,66455469493902;15,13538097994902;52,20006432511195;14,188195557738355;11,540723665771296;-4,897882867498538;-6,642840798272758;11,540723665771296;1,0;0,1301704978870019;;0,8410742947769771;0,8698295021129981;0,058960904751817596;0,09996480047120625;;
SIGMA;1100,0;35,0;10,0;55,0;BCC_B2 + FCC_A1 + SIGMA;36,859661599758034;32,66455469493913;15,135380979948836;52,20006432511203;14,188195557738469;11,540723665771374;-4,897882867498431;-6,642840798272941;11,540723665771374;1,0;0,13017049788700719;;0,8410742947769768;0,8698295021129926;0,05896090475181566;0,09996480047120787;;
SIGMA;1100,0;32,5;10,0;57,5;BCC_B2 + FCC_A1 + SIGMA;39,954286531525675;32,66455469493905;15,135380979948945;52,20006432511202;14,188195557738432;11,54072366577136;-4,8978828674985095;-6,642840798272832;11,54072366577136;0,9999999999999999;0,13017049788700302;;0,8410742947769773;0,8698295021129969;0,05896090475181638;0,09996480047120629;;
