generating points... ALPHA_MN BETA_MN BETA_RHOMBO_B CEMENTITE CHI_A12 CR3MN5 CU2S DELTA DIAMOND_A4 DIGENITE DISULF D_NIMO ETA FCC_A1 FC_MONO FC_ORTHO FES_P GAMMA_DP GAMMA_PRIME GRAPHITE G_PHASE HCP_A3 KSI_CARBIDE LAVES LAV_C14 LIQUID M23C6 M23C6_WY M3C2 M6C M6C_WY M7C3 MNS_Q MOB2 MU_PHASE NBB NI2CR NIAL NITI2 PYRR P_PHASE R_PHASE SIGMA TI4C2S2 TIB TIB2 TIS ZET done
Adding points to FCC_A1. Adding points to LIQUID. T=1630.289, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.289, NP(LIQUID)=0.980 NP(FCC_A1)=0.020 
Adding points to FCC_A1. Adding points to LIQUID. T=1629.872, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.284, NP(LIQUID)=0.980 NP(FCC_A1)=0.020 
Adding points to LIQUID. Adding points to FCC_A1. T=1629.456, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.278, NP(LIQUID)=0.980 NP(FCC_A1)=0.020 
Adding points to LIQUID. Adding points to FCC_A1. T=1629.039, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.273, NP(LIQUID)=0.980 NP(FCC_A1)=0.020 
Adding points to LIQUID. Adding points to FCC_A1. T=1628.622, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.267, NP(LIQUID)=0.981 NP(FCC_A1)=0.019 
Adding points to LIQUID. Adding points to FCC_A1. T=1628.206, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.262, NP(LIQUID)=0.981 NP(FCC_A1)=0.019 
Adding points to FCC_A1. Adding points to LIQUID. T=1627.789, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.257, NP(LIQUID)=0.981 NP(FCC_A1)=0.019 
Adding points to FCC_A1. Adding points to LIQUID. T=1627.372, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.252, NP(LIQUID)=0.981 NP(FCC_A1)=0.019 
Adding points to LIQUID. Adding points to FCC_A1. T=1626.956, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.248, NP(LIQUID)=0.981 NP(FCC_A1)=0.019 
Adding points to FCC_A1. Adding points to LIQUID. T=1626.539, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.243, NP(LIQUID)=0.981 NP(FCC_A1)=0.019 
Adding points to FCC_A1. Adding points to LIQUID. T=1626.122, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.238, NP(LIQUID)=0.982 NP(FCC_A1)=0.018 
Adding points to FCC_A1. Adding points to LIQUID. T=1625.706, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.234, NP(LIQUID)=0.982 NP(FCC_A1)=0.018 
Adding points to FCC_A1. Adding points to LIQUID. T=1625.289, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.230, NP(LIQUID)=0.982 NP(FCC_A1)=0.018 
Adding points to FCC_A1. Adding points to LIQUID. T=1624.872, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.226, NP(LIQUID)=0.982 NP(FCC_A1)=0.018 
Adding points to FCC_A1. Adding points to LIQUID. T=1624.456, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.222, NP(LIQUID)=0.982 NP(FCC_A1)=0.018 
