T, °C;фаза;статус данных;мольная доля, %;массовая доля, %;плотность фазы, кг/м³;модель плотности;примечание;диагностика
600,0;P_PHASE;оценка по правилу смеси;27,353871502687166;29,471920674859476;8413,119033166153;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
600,0;GAMMA_PRIME;оценка по связанной фазе;1,242381159252597;1,1249107212114449;7125,196024659306;FCC_A1;Плотность оценена по разупорядоченной ГЦК-модели FCC_A1.;
600,0;M23C6;прямая модель;0,11926425329623987;0,09824647344889695;6989,6494804630365;M23C6;Прямая DP-модель из physical_data.pdb.;
600,0;MNS_Q;оценка по правилу смеси;0,07434385311221407;0,05426557367554733;3686,632773210253;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
650,0;FCC_A1;прямая модель;74,13433990078784;72,30829789520614;8164,510510668496;FCC_A1;Прямая DP-модель из physical_data.pdb.;
650,0;P_PHASE;оценка по правилу смеси;24,989737918355694;26,92220062130036;8386,359621808358;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
650,0;GAMMA_PRIME;оценка по связанной фазе;0,6831231345422789;0,6176289823176857;7061,426462722031;FCC_A1;Плотность оценена по разупорядоченной ГЦК-модели FCC_A1.;
650,0;M23C6;прямая модель;0,1184550092831472;0,09760692962846657;6969,547151886126;M23C6;Прямая DP-модель из physical_data.pdb.;
650,0;MNS_Q;оценка по правилу смеси;0,0743438495621039;0,05426557154734821;3648,518693972413;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
700,0;FCC_A1;прямая модель;77,50216252218527;75,82023366079092;8136,283685846131;FCC_A1;Прямая DP-модель из physical_data.pdb.;
700,0;P_PHASE;оценка по правилу смеси;22,30661887710223;24,02917182974787;8358,524643496927;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
700,0;M23C6;прямая модель;0,11687480154170607;0,09632893569458034;6949,380496235302;M23C6;Прямая DP-модель из physical_data.pdb.;
700,0;MNS_Q;оценка по правилу смеси;0,07434385197343389;0,054265573766640186;3610,352849653159;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
750,0;FCC_A1;прямая модель;80,71636788152864;79,2838081479066;8118,777208080122;FCC_A1;Прямая DP-модель из physical_data.pdb.;
750,0;P_PHASE;оценка по правилу смеси;19,095616936837214;20,568156751670823;8329,704574053152;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
750,0;M23C6;прямая модель;0,11367109947697746;0,09376952050102798;6930,25870571483;M23C6;Прямая DP-модель из physical_data.pdb.;
